time,event,customers_in_system,customers_in_queue,server_busy,total_arrivals,rejected_arrivals,completed_customers
16.830861745012665,arrival_queue,4,3,1,125,0,121
16.836821567164115,arrival_queue,5,4,1,126,0,121
16.864336598585556,departure,4,3,1,126,0,122
16.895989559652406,departure,3,2,1,126,0,123
17.07827331588107,arrival_queue,4,3,1,127,0,123
17.14012819384429,arrival_queue,5,4,1,128,0,123
17.149035997471888,arrival_queue,6,5,1,129,0,123
17.228604979352056,departure,5,4,1,129,0,124
17.275493095617122,arrival_queue,6,5,1,130,0,124
17.279891588920794,arrival_queue,7,6,1,131,0,124
17.43547033235867,departure,6,5,1,131,0,125
17.5337244330362,departure,5,4,1,131,0,126
17.576817541510433,departure,4,3,1,131,0,127
17.619012620867203,arrival_queue,5,4,1,132,0,127
17.729660681755266,departure,4,3,1,132,0,128
17.73367601776168,departure,3,2,1,132,0,129
17.741095184140782,arrival_queue,4,3,1,133,0,129
17.78599859497276,departure,3,2,1,133,0,130
17.878558691816238,arrival_queue,4,3,1,134,0,130
17.89894482189492,arrival_queue,5,4,1,135,0,130
18.117752495293985,departure,4,3,1,135,0,131
18.119594245720904,arrival_queue,5,4,1,136,0,131
18.660198789398397,departure,4,3,1,136,0,132
18.833370282189346,arrival_queue,5,4,1,137,0,132
18.860032097591958,departure,4,3,1,137,0,133
18.937677241257926,arrival_queue,5,4,1,138,0,133
18.9918420431832,departure,4,3,1,138,0,134
18.996520173456638,arrival_queue,5,4,1,139,0,134
19.040745222443675,departure,4,3,1,139,0,135
19.077474421281146,arrival_queue,5,4,1,140,0,135
19.08625590350509,departure,4,3,1,140,0,136
19.141948105656656,departure,3,2,1,140,0,137
19.273274676960277,departure,2,1,1,140,0,138
19.274549772540944,arrival_queue,3,2,1,141,0,138
19.439237269391725,departure,2,1,1,141,0,139
19.458138474876744,arrival_queue,3,2,1,142,0,139
19.488275691186704,departure,2,1,1,142,0,140
19.503377969923978,departure,1,0,1,142,0,141
19.647133159902246,arrival_queue,2,1,1,143,0,141
19.72476714354234,departure,1,0,1,143,0,142
19.744927893463323,arrival_queue,2,1,1,144,0,142
19.787470575717254,arrival_queue,3,2,1,145,0,142
19.825084067282326,departure,2,1,1,145,0,143
19.92274779894792,departure,1,0,1,145,0,144
20.252456579472394,arrival_queue,2,1,1,146,0,144
20.254995423625576,arrival_queue,3,2,1,147,0,144
20.320250890706802,departure,2,1,1,147,0,145
20.331670043346854,departure,1,0,1,147,0,146
20.335904225839556,departure,0,0,0,147,0,147
20.355029000261187,arrival_service_start,1,0,1,148,0,147
20.532082146465314,arrival_queue,2,1,1,149,0,147
20.595123606963437,departure,1,0,1,149,0,148
20.71137300696867,departure,0,0,0,149,0,149
20.774082687601506,arrival_service_start,1,0,1,150,0,149
20.855458200316207,departure,0,0,0,150,0,150
21.147185889721918,arrival_service_start,1,0,1,151,0,150
21.158462534055065,departure,0,0,0,151,0,151
21.24423816406332,arrival_service_start,1,0,1,152,0,151
21.259964740621502,arrival_queue,2,1,1,153,0,151
21.268378729104075,departure,1,0,1,153,0,152
21.346303686968945,departure,0,0,0,153,0,153
21.8082646202752,arrival_service_start,1,0,1,154,0,153
21.899927497463782,departure,0,0,0,154,0,154
22.198253147738622,arrival_service_start,1,0,1,155,0,154
22.210361861418264,departure,0,0,0,155,0,155
22.37731027104771,arrival_service_start,1,0,1,156,0,155
22.422225796225042,arrival_queue,2,1,1,157,0,155
22.572019403376324,arrival_queue,3,2,1,158,0,155
22.634740967250146,departure,2,1,1,158,0,156
22.665110412018453,departure,1,0,1,158,0,157
22.70294675541629,departure,0,0,0,158,0,158
22.963206659194434,arrival_service_start,1,0,1,159,0,158
22.995270283005503,departure,0,0,0,159,0,159
23.014470824560515,arrival_service_start,1,0,1,160,0,159
23.025311103200153,arrival_queue,2,1,1,161,0,159
23.105521409343904,departure,1,0,1,161,0,160
23.242909597161933,arrival_queue,2,1,1,162,0,160
23.286285582689207,departure,1,0,1,162,0,161
23.33555081567024,departure,0,0,0,162,0,162
23.979395081724626,arrival_service_start,1,0,1,163,0,162
23.99697526971564,arrival_queue,2,1,1,164,0,162
24.018042483299766,departure,1,0,1,164,0,163
24.019367127407214,departure,0,0,0,164,0,164
24.414956351852958,arrival_service_start,1,0,1,165,0,164
24.438054985543072,departure,0,0,0,165,0,165
24.516647708307143,arrival_service_start,1,0,1,166,0,165
24.566564787117926,departure,0,0,0,166,0,166
24.73743725547942,arrival_service_start,1,0,1,167,0,166
24.88331654253239,departure,0,0,0,167,0,167
25.227021507722252,arrival_service_start,1,0,1,168,0,167
25.228653619868776,arrival_queue,2,1,1,169,0,167
25.27916227838536,arrival_queue,3,2,1,170,0,167
25.32124256573074,arrival_queue,4,3,1,171,0,167
25.32387482937302,departure,3,2,1,171,0,168
25.360175542062535,departure,2,1,1,171,0,169
25.360812638181102,departure,1,0,1,171,0,170
25.425534374791866,arrival_queue,2,1,1,172,0,170
25.435973628130217,departure,1,0,1,172,0,171
25.512726004681955,arrival_queue,2,1,1,173,0,171
25.53587570254747,arrival_queue,3,2,1,174,0,171
25.543160535775886,departure,2,1,1,174,0,172
25.658464927906333,departure,1,0,1,174,0,173
25.73972880397207,departure,0,0,0,174,0,174
25.90373959347112,arrival_service_start,1,0,1,175,0,174
25.94573098084032,departure,0,0,0,175,0,175
26.01396048097527,arrival_service_start,1,0,1,176,0,175
26.06395191833806,departure,0,0,0,176,0,176
26.133684965259693,arrival_service_start,1,0,1,177,0,176
26.140379246154144,departure,0,0,0,177,0,177
26.169397555049603,arrival_service_start,1,0,1,178,0,177
26.189245759857723,arrival_queue,2,1,1,179,0,177
26.198123695808107,departure,1,0,1,179,0,178
26.473616811110965,departure,0,0,0,179,0,179
26.639160397035987,arrival_service_start,1,0,1,180,0,179
26.839468410440826,arrival_queue,2,1,1,181,0,179
26.84992547501335,arrival_queue,3,2,1,182,0,179
26.965961887591412,departure,2,1,1,182,0,180
26.975583135187915,departure,1,0,1,182,0,181
27.03605543506355,departure,0,0,0,182,0,182
27.106567932070536,arrival_service_start,1,0,1,183,0,182
27.169594736742155,departure,0,0,0,183,0,183
27.261520898731984,arrival_service_start,1,0,1,184,0,183
27.27095344243766,departure,0,0,0,184,0,184
27.524183983320288,arrival_service_start,1,0,1,185,0,184
27.633169517850227,arrival_queue,2,1,1,186,0,184
27.816307551757212,departure,1,0,1,186,0,185
27.8238675277807,arrival_queue,2,1,1,187,0,185
27.861892156864258,departure,1,0,1,187,0,186
27.862633264293795,departure,0,0,0,187,0,187
27.90588902484974,arrival_service_start,1,0,1,188,0,187
27.93075870796698,departure,0,0,0,188,0,188
27.944490117447472,arrival_service_start,1,0,1,189,0,188
27.96631098189628,departure,0,0,0,189,0,189
28.24980888364706,arrival_service_start,1,0,1,190,0,189
28.34055555845969,departure,0,0,0,190,0,190
28.39613017878063,arrival_service_start,1,0,1,191,0,190
28.406381009578737,departure,0,0,0,191,0,191
28.532286200531235,arrival_service_start,1,0,1,192,0,191
28.585159568952538,departure,0,0,0,192,0,192
28.597595171101652,arrival_service_start,1,0,1,193,0,192
